,class,path,1,2
0,Podiceps cristatus,data/images/podiceps_cristatus/cropped/200512751.jpg,-4.5174794,-5.50042
1,Podiceps cristatus,data/images/podiceps_cristatus/cropped/200195821.jpg,-1.2845097,-5.971537
2,Podiceps cristatus,data/images/podiceps_cristatus/cropped/200108141.jpg,-3.304814,-3.2026856
3,Podiceps cristatus,data/images/podiceps_cristatus/cropped/200108131.jpg,-3.6358054,-3.3137913
4,Podiceps cristatus,data/images/podiceps_cristatus/cropped/199322721.jpg,-4.395396,-2.0305352
5,Podiceps cristatus,data/images/podiceps_cristatus/cropped/199302761.jpg,-4.582922,-1.7995878
6,Podiceps cristatus,data/images/podiceps_cristatus/cropped/199115671.jpg,-3.262803,-2.6128352
7,Podiceps cristatus,data/images/podiceps_cristatus/cropped/199046491.jpg,-4.6848674,0.39009833
8,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198665371.jpg,-3.7371986,-3.9961855
9,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198665361.jpg,-5.221368,-4.4575424
10,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198606441.jpg,-4.6578603,-2.387334
11,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198605931.jpg,-6.477067,-4.632239
12,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198161761.jpg,-3.025747,-3.064857
13,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198161471.jpg,-6.3683457,-4.0972457
14,Podiceps cristatus,data/images/podiceps_cristatus/cropped/198031581.jpg,-2.9774222,-4.0077252
15,Podiceps cristatus,data/images/podiceps_cristatus/cropped/197691411.jpg,-5.1685133,-1.4992907
16,Podiceps cristatus,data/images/podiceps_cristatus/cropped/197690411.jpg,-4.9523497,-3.2121408
17,Podiceps cristatus,data/images/podiceps_cristatus/cropped/197686491.jpg,-5.8529415,-3.2403574
18,Podiceps cristatus,data/images/podiceps_cristatus/cropped/197643821.jpg,-5.1478634,-3.6368027
19,Podiceps cristatus,data/images/podiceps_cristatus/cropped/197643081.jpg,-6.399948,-2.8622642
20,Podiceps cristatus,data/images/podiceps_cristatus/cropped/196086981.jpg,-3.803102,-3.9727926
21,Podiceps cristatus,data/images/podiceps_cristatus/cropped/196083261.jpg,-4.6581626,-4.672359
22,Podiceps cristatus,data/images/podiceps_cristatus/cropped/196082031.jpg,-5.0769396,-3.5762048
23,Podiceps cristatus,data/images/podiceps_cristatus/cropped/195861381.jpg,-4.1411486,-4.343777
24,Podiceps cristatus,data/images/podiceps_cristatus/cropped/195847481.jpg,-0.389504,-0.32582396
25,Podiceps cristatus,data/images/podiceps_cristatus/cropped/195847151.jpg,-3.4862766,-4.032241
26,Podiceps cristatus,data/images/podiceps_cristatus/cropped/195825601.jpg,-5.432861,-5.421188
27,Podiceps cristatus,data/images/podiceps_cristatus/cropped/192425431.jpg,-3.8630087,-3.8744223
28,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191840981.jpg,-8.208805,-0.6428697
29,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191840961.jpg,-9.077638,-1.0247357
30,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191840951.jpg,-9.081844,1.7222807
31,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191840931.jpg,-3.2128882,-1.2132415
32,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191656341.jpg,-5.950697,-1.830919
33,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191511321.jpg,-4.0489583,-3.7392716
34,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191436541.jpg,-4.5347075,-3.6716127
35,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191436031.jpg,-6.1525493,-0.8689034
36,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191427401.jpg,-0.43891808,2.6630602
37,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191427311.jpg,-5.31406,-4.695991
38,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191427241.jpg,-3.6774676,-3.905799
39,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191427091.jpg,-4.487335,-3.335282
40,Podiceps cristatus,data/images/podiceps_cristatus/cropped/191427041.jpg,-3.7433033,-6.2534943
