1415,Pyrrhocorax graculus
1307,Pyrrhocorax graculus
242,Podiceps cristatus
715,Chroicocephalus ridibundus
775,Chroicocephalus ridibundus
404,Fulica atra
749,Chroicocephalus ridibundus
107,Podiceps cristatus
683,Chroicocephalus ridibundus
144,Podiceps cristatus
1293,Pyrrhocorax graculus
195,Podiceps cristatus
514,Fulica atra
1041,Cygnus olor
633,Chroicocephalus ridibundus
110,Podiceps cristatus
450,Fulica atra
1147,Cygnus olor
99,Podiceps cristatus
1112,Cygnus olor
1235,Cygnus olor
1089,Cygnus olor
1308,Pyrrhocorax graculus
1158,Cygnus olor
352,Fulica atra
585,Chroicocephalus ridibundus
319,Fulica atra
93,Podiceps cristatus
318,Fulica atra
367,Fulica atra
399,Fulica atra
255,Podiceps cristatus
1159,Cygnus olor
38,Podiceps cristatus
479,Fulica atra
237,Podiceps cristatus
1043,Cygnus olor
568,Chroicocephalus ridibundus
219,Podiceps cristatus
90,Podiceps cristatus
1197,Cygnus olor
1119,Cygnus olor
139,Podiceps cristatus
401,Fulica atra
152,Podiceps cristatus
310,Fulica atra
18,Podiceps cristatus
1429,Pyrrhocorax graculus
1350,Pyrrhocorax graculus
61,Podiceps cristatus
527,Chroicocephalus ridibundus
1401,Pyrrhocorax graculus
306,Fulica atra
1137,Cygnus olor
1047,Cygnus olor
731,Chroicocephalus ridibundus
164,Podiceps cristatus
1221,Cygnus olor
1297,Pyrrhocorax graculus
1101,Cygnus olor
437,Fulica atra
224,Podiceps cristatus
721,Chroicocephalus ridibundus
102,Podiceps cristatus
1244,Cygnus olor
284,Fulica atra
710,Chroicocephalus ridibundus
79,Podiceps cristatus
1094,Cygnus olor
660,Chroicocephalus ridibundus
1424,Pyrrhocorax graculus
1140,Cygnus olor
214,Podiceps cristatus
1173,Cygnus olor
1394,Pyrrhocorax graculus
1414,Pyrrhocorax graculus
1233,Cygnus olor
630,Chroicocephalus ridibundus
1261,Pyrrhocorax graculus
197,Podiceps cristatus
4,Podiceps cristatus
1208,Cygnus olor
11,Podiceps cristatus
108,Podiceps cristatus
564,Chroicocephalus ridibundus
1066,Cygnus olor
787,Chroicocephalus ridibundus
1264,Pyrrhocorax graculus
1096,Cygnus olor
595,Chroicocephalus ridibundus
1328,Pyrrhocorax graculus
679,Chroicocephalus ridibundus
1191,Cygnus olor
1065,Cygnus olor
1423,Pyrrhocorax graculus
412,Fulica atra
482,Fulica atra
1075,Cygnus olor
1063,Cygnus olor
513,Fulica atra
169,Podiceps cristatus
1304,Pyrrhocorax graculus
1252,Pyrrhocorax graculus
1083,Cygnus olor
1280,Pyrrhocorax graculus
1190,Cygnus olor
478,Fulica atra
1290,Pyrrhocorax graculus
591,Chroicocephalus ridibundus
1163,Cygnus olor
48,Podiceps cristatus
301,Fulica atra
618,Chroicocephalus ridibundus
340,Fulica atra
1263,Pyrrhocorax graculus
643,Chroicocephalus ridibundus
131,Podiceps cristatus
676,Chroicocephalus ridibundus
307,Fulica atra
486,Fulica atra
1168,Cygnus olor
730,Chroicocephalus ridibundus
1359,Pyrrhocorax graculus
1038,Cygnus olor
1232,Cygnus olor
788,Chroicocephalus ridibundus
1403,Pyrrhocorax graculus
409,Fulica atra
53,Podiceps cristatus
1165,Cygnus olor
529,Chroicocephalus ridibundus
671,Chroicocephalus ridibundus
1257,Pyrrhocorax graculus
1181,Cygnus olor
1416,Pyrrhocorax graculus
290,Fulica atra
274,Fulica atra
1278,Pyrrhocorax graculus
191,Podiceps cristatus
78,Podiceps cristatus
703,Chroicocephalus ridibundus
1184,Cygnus olor
1067,Cygnus olor
1421,Pyrrhocorax graculus
345,Fulica atra
328,Fulica atra
702,Chroicocephalus ridibundus
161,Podiceps cristatus
366,Fulica atra
1306,Pyrrhocorax graculus
1074,Cygnus olor
1285,Pyrrhocorax graculus
777,Chroicocephalus ridibundus
330,Fulica atra
32,Podiceps cristatus
640,Chroicocephalus ridibundus
782,Chroicocephalus ridibundus
689,Chroicocephalus ridibundus
696,Chroicocephalus ridibundus
1352,Pyrrhocorax graculus
558,Chroicocephalus ridibundus
51,Podiceps cristatus
133,Podiceps cristatus
160,Podiceps cristatus
189,Podiceps cristatus
266,Podiceps cristatus
218,Podiceps cristatus
1046,Cygnus olor
68,Podiceps cristatus
59,Podiceps cristatus
388,Fulica atra
123,Podiceps cristatus
376,Fulica atra
16,Podiceps cristatus
1276,Pyrrhocorax graculus
1246,Cygnus olor
1092,Cygnus olor
140,Podiceps cristatus
1305,Pyrrhocorax graculus
1372,Pyrrhocorax graculus
1265,Pyrrhocorax graculus
308,Fulica atra
1367,Pyrrhocorax graculus
709,Chroicocephalus ridibundus
1426,Pyrrhocorax graculus
1243,Cygnus olor
1343,Pyrrhocorax graculus
