325,Fulica atra
805,Netta rufina
45,Podiceps cristatus
287,Fulica atra
5,Podiceps cristatus
1297,Pyrrhocorax graculus
813,Netta rufina
1302,Pyrrhocorax graculus
1439,Turdus merula
849,Netta rufina
1438,Turdus merula
64,Podiceps cristatus
341,Fulica atra
1474,Turdus merula
1278,Pyrrhocorax graculus
1260,Pyrrhocorax graculus
796,Netta rufina
1289,Pyrrhocorax graculus
1458,Turdus merula
1444,Turdus merula
342,Fulica atra
1437,Turdus merula
26,Podiceps cristatus
1308,Pyrrhocorax graculus
1254,Pyrrhocorax graculus
294,Fulica atra
830,Netta rufina
2,Podiceps cristatus
843,Netta rufina
29,Podiceps cristatus
809,Netta rufina
1503,Turdus merula
815,Netta rufina
1497,Turdus merula
23,Podiceps cristatus
1499,Turdus merula
1307,Pyrrhocorax graculus
1305,Pyrrhocorax graculus
281,Fulica atra
38,Podiceps cristatus
840,Netta rufina
1264,Pyrrhocorax graculus
1480,Turdus merula
59,Podiceps cristatus
862,Netta rufina
53,Podiceps cristatus
17,Podiceps cristatus
822,Netta rufina
1435,Turdus merula
1285,Pyrrhocorax graculus
51,Podiceps cristatus
1465,Turdus merula
859,Netta rufina
313,Fulica atra
1276,Pyrrhocorax graculus
309,Fulica atra
303,Fulica atra
1490,Turdus merula
798,Netta rufina
316,Fulica atra
802,Netta rufina
278,Fulica atra
336,Fulica atra
304,Fulica atra
835,Netta rufina
1469,Turdus merula
324,Fulica atra
57,Podiceps cristatus
1461,Turdus merula
1309,Pyrrhocorax graculus
28,Podiceps cristatus
1303,Pyrrhocorax graculus
13,Podiceps cristatus
